"variable","lower","upper","med","real","real.in.83","real.minus.med","percent.error","run_id"
"scleractinianElectivity",-0.180341582610942,0.0107305257210811,-0.084526059946935,-0.0129375316642685,TRUE,0.0715885282826666,553.339927123683,22
"gorgonianElectivity",-0.328403147227059,0.0234714180756831,-0.153136026869928,-0.701999719088772,FALSE,-0.548863692218844,-78.1857424289705,23
"fireElectivity",-1.26905620881541,-0.793993586599685,-1.02815962716204,-1.40383903257398,FALSE,-0.375679405411931,-26.7608605185392,23
"spongeElectivity",-0.302937926905172,0.0476177054867307,-0.130888906801903,-0.398823930892521,FALSE,-0.267935024090618,-67.1812805944245,23
"scleractinianElectivity",0.572946878589922,0.966229347693578,0.762681573898844,-0.110421799564805,FALSE,-0.873103373463649,-790.698373785545,23
"gorgonianElectivity",-0.316320252982324,-0.123510815245967,-0.221467412935906,-0.143989353898028,TRUE,0.0774780590378779,53.8081857723641,24
"fireElectivity",0.134667633868494,0.334272072693686,0.234151957219903,0.353385103864509,FALSE,0.119233146644607,-33.7402865431254,24
"spongeElectivity",-0.593176911680988,-0.377513862356471,-0.485554030101179,-0.297514938173094,FALSE,0.188039091928085,63.203243871635,24
"scleractinianElectivity",0.267103943949945,0.463394891459212,0.363951456252668,0.555326179015324,FALSE,0.191374722762656,-34.461678558355,24
"gorgonianElectivity",-0.384291657773275,-0.131272365010703,-0.259102623508124,-0.420884069657012,FALSE,-0.161781446148888,-38.4384817132013,25
"fireElectivity",-0.309232804313008,-0.0678256537635244,-0.189583139608976,-0.339466559977085,FALSE,-0.14988342036811,-44.1526318168797,25
"spongeElectivity",0.68092951397129,0.963987496530632,0.819497026396959,0.518080388363255,FALSE,-0.301416638033704,58.1795112889631,25
"scleractinianElectivity",-0.785839511499514,-0.522349643870469,-0.654332632308196,-0.869387621013225,FALSE,-0.215054988705029,-24.7363757554304,25
"gorgonianElectivity",-1.07743013725307,-0.729339626362743,-0.902812754041039,-0.966299901527048,TRUE,-0.063487147486009,-6.57012873391377,26
"fireElectivity",0.562094615244471,0.839806767400338,0.699323257128332,0.471329909129783,FALSE,-0.227993347998549,48.3723488754392,26
"spongeElectivity",0.154887589654837,0.414715356611171,0.283695245052904,0.205337791071252,TRUE,-0.0783574539816514,38.1602692679505,26
"scleractinianElectivity",-0.977988624124503,-0.655988448261538,-0.815295663157287,-1.01888307611964,FALSE,-0.20358741296235,-19.981430424549,26
"gorgonianElectivity",-0.811203908648323,-0.524304674796311,-0.665511912345575,-0.791235649678155,TRUE,-0.125723737332579,-15.8895440800372,27
"fireElectivity",0.563945365878442,0.85384282388213,0.70475517226165,0.388512274160985,FALSE,-0.316242898100665,81.3984316926949,27
"spongeElectivity",0.238833623597454,0.502889123086581,0.368175948667068,0.253998499450374,TRUE,-0.114177449216694,44.9520172220553,27
"scleractinianElectivity",-6.87791998481248,-2.17501356247961,-4.26004527552337,-2.18716829258598,TRUE,2.07287698293739,94.7744620276361,27
"gorgonianElectivity",0.712330804188678,0.979774783282368,0.842607994039696,0.481606511861023,FALSE,-0.361001482178673,74.9577659952503,28
"fireElectivity",-1.40814822834178,-1.00896530648495,-1.20309828669577,-1.14814999329978,TRUE,0.0549482933959913,4.78581141110928,28
"spongeElectivity",-0.24833812689172,-0.0158627818135044,-0.132670219685316,-0.136766976418644,TRUE,-0.00409675673332788,-2.995428312159,28
"scleractinianElectivity",-0.240190952581872,-0.00373600883730441,-0.121619052661292,-0.206479856817317,TRUE,-0.0848608041560254,-41.0988294277567,28
"gorgonianElectivity",-0.12935695039823,0.0548676313811171,-0.0381769119551685,0.164441350143759,FALSE,0.202618262098927,-123.216126553202,29
"fireElectivity",-0.195774448950404,-0.00768190011369188,-0.103113387214088,-0.034705900963032,TRUE,0.0684074862510559,197.106210623727,29
"spongeElectivity",-1.44758152845569,-1.09372161994417,-1.26602163328053,-0.920743815374439,FALSE,0.345277817906094,37.4998791347493,29
"scleractinianElectivity",0.656235055561248,0.871206337080352,0.762247748345902,1.14805514963721,FALSE,0.385807401291307,-33.6053020983551,29
"gorgonianElectivity",-1.47200242150103,-1.12172792714292,-1.29044386513463,-1.19415779808829,TRUE,0.0962860670463399,8.06309410703366,30
"fireElectivity",0.345627692598071,0.547164330189616,0.446429677491958,0.608586995329072,FALSE,0.162157317837114,-26.644887104338,30
"spongeElectivity",-0.683577620870615,-0.478396658282146,-0.581117017785829,-0.420262628494242,FALSE,0.160854389291587,38.2747307006363,30
"scleractinianElectivity",0.705853108815221,0.923384908357536,0.813440218359139,0.934690112123445,FALSE,0.121249893764306,-12.972202464927,30
